InstanceID	N1	N2	N3	N4	N5	X	Z	Class
84	218.29549000163385	151.61143238484334	208.18902289786405	201.78847140365073	181.9992618785543	356.88773540751083	766.4797260108692	3.0
567	132.704980549568	50.007015405622695	147.22930787954124	124.75755541984873	47.96447379621568	282.27127731780706	844.45197090884	5.1
79	121.67443912734852	56.93034828391459	141.35049705690187	109.5204985212574	61.82823894385479	301.3908731217018	828.3858334509988	5.2
412	152.29794641731954	77.25406635964853	227.20245271671322	176.94584912179354	97.13427747452867	353.1579928177117	896.3298793390541	4.5
121	247.65777252618335	147.0094424525177	216.18398690324565	207.79004561429434	171.2113012164783	410.9448435312044	832.4164520048021	3.4
431	142.63833504958305	56.12988929702701	174.50032867574063	149.6033948724839	61.42132746647205	310.7947610482418	829.5765605052684	4.9
330	328.5846199164348	237.8601409326647	335.33544934630515	309.9169456335324	253.74123096749256	486.03985019918747	945.4624365905445	1.1
14	298.9917017198487	193.84183447597266	274.7839387167266	263.672701736015	240.46242695109618	454.4026233970273	860.2868514216218	2.2
486	162.41056126231058	74.02599525883252	187.15950822753575	147.42357500881266	80.82866053788409	310.6409730361117	853.599025319681	4.1
269	130.58104164198713	51.73108683782124	141.72594459932185	114.95745400033074	55.57501515482735	296.1730330128665	831.7419663948807	5.3
0	210.8602785001347	144.51752486377114	225.7615469966645	236.12617000805716	163.09243011759963	382.8524629157048	808.5709719259423	3.4
358	293.5441716501221	214.4447559002	282.1180580992907	260.4999243224342	239.54464985675193	449.520527649148	860.4579922475913	2.2
220	283.90692770614805	198.97816412505995	278.5151558185034	254.2978042045193	247.29857186378143	363.18848507887174	756.6591983297571	2.0
117	274.39598115964935	219.53787827720492	309.4916654486493	276.0718573108814	260.3404403090699	456.87929284577467	879.1406197520151	1.9
184	217.84903685889648	148.49629473554506	228.33965332344437	227.00804049404778	182.01297890877464	389.1842461654289	791.3402296640245	2.5
586	186.46237914805917	96.79564789055588	150.5346958082432	159.35512557020996	117.55464579698402	345.5405161700419	754.5764710533363	3.4
536	95.79936960909635	42.409127841714295	132.30211164486408	120.27450699261784	46.4275162866661	273.7131740769312	800.8157585536487	5.9
348	326.65073952030957	241.49770417115332	387.54989851626345	312.08359171179893	271.0807222593131	506.1476654183875	1045.9146574531646	0.9
