InstanceID	N0	N1	X	N2	Class
39	1012.3655942583877	1086.7491174910574	2254.0144090440403	1631.830157983236	-0.958924275
192	1482.5613160087878	1545.2194352975223	2889.770464349536	2142.0799033107223	0.909297427
462	1526.3731673485195	1514.0708958166322	2870.60632117428	2179.463869413872	0.909297427
128	1400.224792743209	1409.0380715809301	2847.4738023376367	2001.6916749858685	0.989358247
292	2338.717665176877	2300.0224579187566	3620.808492777666	3038.8647613115145	0.412118485
45	1716.3783756962798	1720.2713548197007	3088.3577263573607	2390.357643434828	0.656986599
161	2199.2318405674773	2157.345802623566	3458.6982447597443	2854.5406511675587	0.412118485
321	1383.5598255003704	1472.3693733788866	2851.459236786395	2019.7127832309743	0.909297427
133	1382.3696976983479	1479.5283182676708	2894.2133319409986	2117.0159105812895	0.841470985
442	1330.7777698142306	1392.0074123562786	2762.0971521660435	1978.414716685122	0.909297427
479	2133.3722023298096	2255.5494113813934	3471.7252097587275	2987.6172674092286	-0.279415498
342	1384.1641449342665	1423.4167702658153	2785.380128024912	2095.353040448403	0.909297427
185	1279.1233737201364	1357.3463677215047	2763.419827306757	1930.600691684802	0.989358247
84	949.8276317402048	1021.3712621312961	2218.9728566899175	1632.08311527847	-0.958924275
160	2189.5828550788674	2396.1924602796785	3554.9932205890686	2962.5071746793615	-0.279415498
329	2100.098615213241	2209.7417808603836	3475.215035651255	2889.8129265847065	0.412118485
288	1067.585913966713	1086.0758779835023	2291.880979627192	1674.6679434445077	-0.958924275
268	2189.840782992714	2314.499636039182	3515.3486160059965	3005.5319723795974	-0.279415498
50	2194.056923608828	2186.043014672314	3500.2250427200174	2988.8332168911143	0.412118485
349	2235.442560295998	2295.0942367830453	3468.181933708458	2872.884606538409	0.141120008
297	1666.0986834920297	1737.536269902816	3130.1964772073093	2330.144299019289	0.656986599
471	1922.9690413610024	1986.4835156636202	3273.0355869605264	2673.2684819163005	0.412118485
374	986.9924824577568	964.408431040738	2174.787646011051	1571.1439518522347	-0.958924275
472	2231.0943875348803	2245.1293719140785	3457.964506766055	2856.682668210795	0.141120008
168	1044.459352071393	1044.023400048201	2211.081844557518	1578.1097397311596	-0.958924275
122	1391.0352454852493	1510.5942777060725	2936.614962879551	2044.9127137110181	0.989358247
383	1438.492176070432	1512.2084329646216	2724.5300706772364	2136.8233507367863	-0.756802495
352	2274.448173568083	2424.2087999075306	3614.7077708807337	3062.1924868014858	0.141120008
414	1458.418947064639	1521.8641938829633	2882.3706526379374	2071.7168652341707	0.909297427
290	1507.7345765269947	1603.0039364308752	3013.625803884541	2170.0815247269247	0.841470985
198	2178.7154282053584	2366.4027651539564	3430.111052858274	2876.6725551144605	0.0
424	2086.2924914662653	2218.4866415192755	3362.0931855640993	2848.6359965631514	0.141120008
91	1579.470367088388	1654.7525823295011	2979.0182811554237	2221.7458670998053	0.656986599
379	2096.266424795895	2251.288521328753	3484.994886328889	2960.854239911493	0.141120008
134	1206.4432460723172	1334.4046343888147	2704.857544950384	1903.8932683641387	0.989358247
149	1571.036762570628	1684.682768688984	3056.0977974145853	2290.6247736733562	0.656986599
69	1593.113502996573	1706.2259454248494	3093.936998509365	2310.5281707716617	0.656986599
103	2203.726677754335	2278.4719984516737	3497.1025495590216	3017.4138516577023	0.141120008
482	1672.379727521403	1731.6174668631334	3161.433698063771	2347.0496031565767	0.656986599
384	1356.3256570272667	1492.2893943588897	2610.292082579345	2123.803956220746	-0.544021111
459	1648.3622069548082	1664.5224789932743	3114.2927583919627	2325.6663418178696	0.656986599
426	871.4878653726903	925.1003268521393	2113.535348538632	1517.9187901751473	-0.958924275
432	2229.7738030559112	2370.900730338331	3580.6918847674933	3021.440193157322	0.141120008
421	1364.5059837456429	1445.2143281668953	2807.375054675044	2064.086971369715	0.909297427
120	1258.3194812201295	1307.2653147114377	2466.533997682124	1931.3118852036469	-0.756802495
147	1377.3328748586935	1394.6160716791037	2801.7290549580994	2111.941435031159	0.909297427
334	2109.6693862226693	2284.3591252033293	3310.562735213645	2839.6444051656968	0.0
142	1371.9529792953574	1421.4024686338064	2752.02154563518	2079.1144787868866	0.841470985
229	2180.037862187979	2387.218272680729	3582.245266118486	2916.7837460812198	-0.279415498
362	1447.582148985304	1420.8718211963446	2835.2833720902718	2074.8833975219404	0.841470985
53	1305.0219887355765	1317.0654019611702	2776.3830492290444	1930.4457937638424	0.989358247
131	2260.5179622897126	2379.1056905142136	3564.840834413097	2969.500844766669	0.141120008
100	1701.5454218149048	1681.8052139459935	3110.8141523734225	2287.8991363172354	0.656986599
474	957.29099521722	997.0535625134357	2200.587370885846	1543.0797844846165	-0.958924275
188	1417.5683335251063	1366.351489645705	2842.837323250136	2035.4294438149168	0.989358247
5	1318.4655626150645	1428.3110276095597	2868.700406840653	1948.6470935513153	0.989358247
101	2275.4858328087657	2328.402903247628	3525.2730933943667	2950.19082397056	0.141120008
447	1606.117163433805	1643.33810164521	2894.5758379336658	2293.202604077491	-0.544021111
205	1372.3392516355455	1414.2054295255698	2600.004390978008	2042.6436920832004	-0.756802495
325	1405.2198159254392	1424.825770324124	2625.152513993691	2087.9807736199277	-0.756802495
347	1806.4997084698105	1844.480673127656	3045.164263427802	2553.9681078402637	-0.544021111
23	2207.286600732737	2317.399625802451	3402.3242177986735	2940.475380395185	0.0
223	1840.2491903613056	1817.99995172947	3266.5127910689534	2473.024859593209	0.656986599
3	1614.5819796881308	1645.6652126796018	2815.375248479868	2289.197068460547	-0.544021111
