InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
714	941.2096577833827	1415.2561489109025	634.2897075107044	1183.9414638191581	995.4684728943553	568.8651879291716	943.6307666686567	496.3654822862469	1118.1501594303263	788.4608185624425	658.6293760035602	1266.0068377382572	4985.586624514397	130.9431120927
844	911.7332440581719	1423.6221588131248	632.3379414583713	1115.7393264167595	970.7081559380368	608.0823541254541	918.0404258934287	507.2783964579625	1088.7053341642643	878.6069795365888	652.8743118445158	1298.9187377968544	6155.397165748673	1045.1600667908
1438	928.1997517837893	1367.336482169756	602.4004651770996	1128.0765530244084	998.4820859634394	566.9729113469756	940.4921099202287	477.2720368343597	1077.626635565925	892.9577664264664	664.1478006582184	1195.8889806031407	4643.950921443607	36.3650076416
1471	424.7907334645986	885.8587837555297	165.59465606608146	399.8802277227793	251.11632104077648	229.31555057857705	264.11767395340274	93.48501483679219	464.50818435977203	213.15767784648574	244.66365839793204	286.7906727721282	4110.52818714218	1403.0552385383
444	201.2728853727057	390.5793847564649	137.3169994894145	262.6558444533258	375.7352899512824	59.81151382892923	165.69707224668582	34.687924450608755	254.08856373022547	206.96125320913788	122.74725072194245	932.0533121736905	3730.1492603965235	1451.066858487
16	1.9053182649069536	8.920540840992146	7.203594036516536	3.173395610399544	11.26403611359686	1.9053182649069536	51.06495000079959	0	1.0371888347529534	172.26317202142687	58.77076364935073	1.2680773454925902	4592.045834407634	4471.4874122538
632	1.828576536638129	0.6950559966707117	0.812683288269387	21.966784703181588	10.024449761916143	0	1.2156246603300687	0	3.939197081007666	229.37487730568796	43.701390093391126	0.9820923726116881	4084.0251863367685	7381.0319031109
882	932.4430203640743	1437.6680796273586	642.1483384198904	1247.6767317088606	1042.1248114165148	583.9280110213477	1001.2346529775817	493.12686368499834	1085.479016432449	945.3957673804866	696.0573481714916	1284.0689412357967	6595.503456327469	1059.3380203629
618	694.5514010576155	1154.6253370885875	465.5276162263379	885.5405213258255	729.3557196476804	416.48654833748617	522.4408280279417	310.9341695933865	829.3675131445862	497.62341936817114	454.02782550839544	1038.247029353334	5910.9495677931245	2511.4736004457
769	583.1408584777731	678.9236207093601	328.23334736364995	752.0490940061273	579.6173427492189	243.67735704831304	523.491928448492	283.7677938121626	652.6621772557074	534.6597316639526	439.55865632948513	718.0243104761455	5448.0811181523395	2508.1869059275
556	914.0102647062696	1429.7906005749307	654.5096801596521	1191.4662891903681	1055.1313402112592	608.4324152926368	1022.1760313394697	493.9577081980188	1101.7594264719537	974.5819031644206	671.9773693924396	1212.866333230813	6193.3385744289435	991.3969586812
308	1011.9188883336952	1404.2158669882283	630.1510101577783	1143.5013840605336	1023.1992746166796	564.6808133822801	1020.5515534379678	488.51325750288174	1074.8082583237517	868.7522796683842	672.3986624389397	1195.230804818172	6868.403698727988	1750.7895111549
1112	472.18692457072484	875.6798304724318	182.62171109809077	533.7905136832304	173.69632222678194	215.36881759291975	221.39743070447116	72.30455948319732	477.1014740830738	259.3319023815147	235.07993511104078	261.3385519160849	4920.703490043883	2606.7866568956
