InstanceID	A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Class
85	35.53108079820174	27.76139112473488	38.81843950299966	23.158539257981015	42.38513754012118	39.177786111101554	37.758962712887005	31.965225089200008	31.844391387643835	25.470354828685185	35.01552274014111	1
599	27.372666143231704	26.024776373011896	25.02450263346055	19.403253922560275	20.728435163313748	32.86132612230609	26.460028544130196	34.87314138564577	25.24288228372198	33.778473237356714	31.518659085009133	0
1507	27.819725114661196	21.018238610536542	28.350333932674864	17.771230409690148	19.89627532554818	29.530761991214334	29.022026132314963	33.81672616415414	19.580849212215607	30.333103697241203	22.746272694376835	0
184	29.810992459578284	25.273805678002716	30.586955952108504	18.316637592286312	39.09692271081156	37.13253512991975	31.88996722844507	35.61428124714348	19.955938440157173	36.05016861935547	31.598620460801317	0
396	24.76744385176015	25.037701584657903	27.4613796271876	19.776671641028607	27.062485404133284	28.209469695229252	32.98630409589456	24.64111882144054	19.60728912721585	28.20838429540001	24.30039171585789	1
1426	32.4722115788276	29.116868332390723	33.89718773805968	26.551595071397998	48.31627395938137	42.53153074340286	36.36786966167294	38.56009529765069	33.28079422901342	34.10316163430281	33.76336183921131	1
175	32.238727125753	26.992803146534325	32.33873250498214	24.043812636165576	44.64730849348375	42.309359598512614	32.73748171497814	27.718212685915617	30.090541928682306	33.10751191366035	36.20691425240716	1
1843	30.808724397576256	27.360009017533475	24.902467777934284	22.546662608481927	45.85980325056879	41.103071743023776	32.19946070595484	36.321622290703615	31.42316075247745	34.19446719330716	36.730030574128186	0
102	37.4336412125488	29.980319443083335	41.715836623322055	23.369116006708282	47.6276812075888	36.87110427840448	44.482605153950935	28.02343209497245	29.797584976690768	34.9246943596585	38.46438760484583	1
23	27.85955284182626	23.432862389275957	24.27279130453167	22.775262496740286	36.22100419493397	34.460348260693294	18.597962925092848	30.456620136971118	29.29029417021962	24.420774924743345	32.827322747317154	0
1348	30.24944266090005	26.420663977775266	39.2202282245954	21.083743724347745	45.14869660868269	35.1656533999733	35.32230394142191	25.955007453330154	29.247136258669734	23.702304614809908	35.105093413475046	1
1760	36.86607693759164	35.39893827638477	42.38062829630105	24.426225331923856	51.02095690769191	46.788679861439476	33.69497028261046	31.74451009555463	35.622276930015595	30.445327124290014	43.19645422904691	1
1065	26.47190039246036	24.69031099799978	17.997583070277635	20.98966589380508	22.766008537286964	33.00961258140758	27.553881288357175	31.92609190865368	27.896538951996384	25.778730671645445	24.724589516703137	0
843	26.789083642342376	26.88282110333306	28.658489180037744	22.91307989720757	28.187282856817077	31.187357179522916	30.640167133059972	21.576924288480075	35.10869650083339	16.960472032407363	21.3054539619036	1
1695	36.93354496984405	35.42603103250618	38.9539319048083	28.413485909754733	39.85747830386772	37.78384367523047	47.187676642475616	34.15252132115411	36.674951249902406	33.95427165974914	41.76835531052646	1
1967	16.488041077547773	24.867710617045702	13.909990779668773	18.66707516080548	17.113156487921575	27.52294801687331	13.786232075762955	24.67225665998666	24.833446470341595	14.994782191808845	26.96992577530567	0
1616	31.6533298960047	36.58630110117901	27.6220278661065	24.27511806230369	39.77712575791583	31.556497939782872	25.646345631029956	38.35194780138048	31.50714898540767	25.109788078122858	27.81740488046359	0
1031	26.71923438637825	27.991918165069137	20.20299116977972	21.620605656445726	24.669919959282513	40.0029535569184	32.988257032823256	34.24293419226655	28.15567804718763	31.533867128320118	34.81412124721201	0
1566	33.17556940986519	24.62276809771613	36.18998510629826	21.69176915876916	42.7256360173354	30.013255577700182	33.300483169288555	26.605815145375267	31.728903094761307	21.3735390966797	25.144672667919362	1
1194	25.490316601951143	25.257433529841	26.56004824572619	19.119190602195808	35.90792795127263	34.65245124190924	28.2729783874705	31.564219552138145	20.225214688365938	24.766199694268128	26.679439352639545	0
1157	33.97998515377838	24.67737671749627	32.56502844868216	23.99562121845769	28.615133598549253	31.775204818283786	38.28086972742583	25.207488421646683	29.581694704058933	30.52841308144788	23.58700061306775	1
1383	22.263192649547808	23.93361050350798	28.94242398492106	20.36195736123579	41.08088401417395	37.76763446139399	26.667457996072983	32.57689374400634	19.666000757638404	16.570476427448927	27.296170722951764	1
104	21.788372091266346	26.76631472204747	22.451511409739723	18.763662077816218	36.2875479193197	33.527342598537395	15.224794482811982	24.0258561877936	28.138993943443786	20.839522030919092	31.902864582003694	0
720	35.49268938972567	29.447433699925774	43.07514622972883	21.328154114731596	50.438380025392995	35.96994324615054	37.38158022654443	38.97628622380849	23.84071353578327	30.29735399375337	31.114838825181707	1
158	23.626131013365296	26.934664944675596	36.385040972245406	20.45138746606786	42.819168333124026	31.239552550539575	22.93850398948036	26.632291705007773	21.2947645813124	22.614055706918357	33.49609206481916	1
1161	29.368138717667897	28.695807848029713	30.2394626141865	26.77893492577721	32.19598197027817	32.74600747742102	34.277261786571444	30.165153788933576	32.68006116423778	21.905598499766224	35.48100279451701	1
1830	42.52767838758567	30.152381116487746	43.85959616664097	21.43677155172413	50.820385602555916	39.72212053927978	41.41777327207809	27.350544489775984	27.273803174888176	30.81291502047311	38.49504347365484	1
540	23.281376618962714	25.248860465529436	19.746707437709777	20.61207217722033	34.829781062078	34.24972064002343	27.425355592024548	29.56898407311501	19.13704558385237	21.72213640962572	22.587115252305836	0
1130	27.464520716729854	23.605779384360957	23.267454557642218	21.472922484243814	22.909046320647033	24.136932183479168	27.64307278593852	22.91874614584621	25.697809902984716	37.08466600278914	31.941585429079947	0
416	27.72222781736009	27.727636934218992	30.822881331989898	26.3006401428592	41.36783134203206	30.481340099246236	30.550793011296044	31.92547440786625	30.357422173624663	18.41628107614998	27.983102403125635	1
965	27.843049618995916	28.797408709591117	28.04064313176482	25.317032256109343	45.0078091057786	44.47908614689776	30.881815145795727	40.29204543102539	30.237295144219456	30.562194121814223	35.89031337388217	1
1839	24.624891042933488	26.819558819735157	20.287437361948832	20.934999250459313	18.88435944860093	35.072456316833986	28.77593725045297	24.171611173845463	29.694388830443142	21.222582857357644	27.478198936199515	0
1726	32.010126640079925	27.633027955679072	36.85726489257663	21.145602535751134	43.097579432631036	36.57190897956429	36.67678497654182	24.549180930973808	30.214622892956957	24.496214809506796	37.04935719385245	1
1063	29.7631957660138	31.933758534625255	32.03941763682332	21.032045524742145	36.40897526554739	35.01326052036312	22.387083595021736	41.45458641172006	20.775934375339226	32.99865754928923	31.520162047918536	0
1212	30.128865073939004	27.79885798603194	27.931339673868628	22.963789654472293	35.351197134961474	32.63587169235982	23.85815807382403	34.32577092668296	30.441068810764232	29.80584495731304	30.15865440488748	0
1942	25.279581318592605	20.064181510165206	19.239537866008575	13.715149587746058	20.312972341546253	30.537854249793256	28.60596811851559	25.240774374879493	15.80720975810971	25.082981265533412	20.107194778426685	0
1925	27.9080958874054	27.37019482735825	27.847094738709462	22.652406598487882	42.61997421437008	31.990401198754444	32.81823915588153	30.8748265658569	27.89535136267545	35.20535235479614	38.72003508316712	0
1290	27.354035756225617	27.22976953913514	38.4200316083273	19.071790207385273	44.23263026971827	31.99904976121813	21.75951844180053	30.86302485617957	19.322690833393576	21.82338385002095	33.329960899888306	1
439	30.313779398597788	26.83803297164557	25.854904306742196	20.960099980276446	23.921799499646042	29.61968791683907	25.121119730692296	33.704164901187845	24.337407991407705	36.01464563741416	38.209055395879076	0
163	18.56114070315985	27.85056568113435	23.796891990432734	19.7242459471523	34.71795384872006	32.46814091679868	14.748802577550022	30.40191611736215	18.92478572785744	19.86223636796347	34.51415577137054	0
