InstanceID	N1	X	N2	Class
387	1688.5005505855725	4347.569575579418	1761.5421204486984	34.0
73	2272.860131019109	4321.0518376519785	1494.988328842798	94.0
192	2144.8103021618626	4568.035326447671	1962.9249688890068	30.0
306	1954.9252668950546	3962.99071268586	1388.5005420978337	128.0
373	1642.2565635650428	3200.496804006167	1097.9333090445614	184.0
424	2236.2644491719434	4752.334378625647	2049.1118604524095	32.0
141	2061.0108587676878	4508.99148765117	1640.6826735961208	74.0
125	969.813763393642	2473.803208437499	820.8956053145153	194.0
138	2587.6353595472997	4901.157467724794	1976.8443357755857	86.0
198	2414.3743036124265	4867.334007796599	1811.6863837583523	76.0
100	1829.6519808897297	3629.5141955187732	1146.1946518651116	168.0
426	2249.448734479877	4326.562017783259	1596.826230708871	138.0
220	1692.6217827170483	4375.7140113597225	1776.6562790522466	52.0
294	2002.9241555126437	4060.283671544404	1265.8110507131994	152.0
238	2474.074652920181	5152.8413178719675	2134.1869594500204	46.0
290	1834.446657909226	3947.4115156503026	1464.304289527299	118.0
407	2439.8243197140746	4720.822498756609	1823.7037663829121	96.0
393	2304.2024365673374	4739.059537347147	1992.4963943754396	78.0
70	1599.7996945514467	4071.711113131651	1599.8608475176327	24.0
74	1562.3053796209754	4326.598570821352	1743.235184707968	38.0
359	2513.6311392674575	5000.204062613277	2021.8338690025826	60.0
62	1040.9710488098208	2760.548589652815	880.1310034100827	180.0
396	1001.263819690632	2575.2384441263957	887.4468106509311	190.0
91	2287.998270834541	4935.682675240095	1951.8462248951187	46.0
165	2430.8493068927105	4729.64702826888	1785.0453597957505	106.0
77	1584.318649434984	4363.451981396232	1744.2627600063488	44.0
120	2339.933445596098	4909.446274431733	1896.4930421132383	74.0
111	1836.9947308802068	3586.523116891873	1356.3976923624493	168.0
30	2047.2591928431948	4609.057827017913	1845.3129948295475	70.0
288	2082.483426141889	4194.366520020416	1441.9044938262887	150.0
307	1813.3792156242764	3550.626083296492	1266.6171980847066	176.0
167	2482.2587139968164	4712.377164767733	1706.6524334226317	102.0
377	1461.1105783096057	3965.9409142894015	1748.8390684548701	16.0
397	1957.7864058960683	4578.075455880649	1876.5570858511567	36.0
65	2625.450459833919	5273.634897797122	2197.2083635328922	56.0
163	1734.8568511566932	4121.419339387075	1666.5597554822673	20.0
342	2028.9930364377512	3997.7488171407126	1470.8139720734603	146.0
