InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
600	4985.926925925797	223.76216241120227	3177.4720310259167	1720.0215166992393	2297.297092772477	4550.739656149746	1271.7390127534172	3147.615584677807	1825.3188907376598	786.455801356582	1775.6494211701515	6075.915374715043	12622.211101160732	129.9
119	2516.273891068697	74.85965446939093	2339.604721473085	972.32415424731	1681.6254970353343	3076.890946873808	660.7815173561456	1514.5031413771976	1011.6976945627194	424.24890015344965	1023.9973272961536	4409.927906555452	7224.13470030522	202.24
469	5622.844302900773	281.3780183013714	3562.8946285586167	1913.4876271646515	2549.904137485064	5207.8029527650415	1463.7439408571586	3518.2521126880183	1902.9128310427404	906.2889918225012	2141.2141508165046	6713.700079845278	14010.881697004388	92.89
287	4092.700622617103	218.55730139799246	2912.4558813803883	1479.6232685363682	1922.1025452315598	3792.2774415227354	1113.4195949109107	2670.886174446405	1534.2852035010003	669.0938855224093	1359.2411493254197	5428.70460973987	10496.905172898012	56.09
1158	4755.582391867824	231.79652614423998	3311.1950276510483	1624.7229089006844	2387.6309950060763	4767.751791141082	1156.726165510452	3180.586723012947	1544.2188652169127	752.8584689028344	1824.071871585438	6150.196922374845	12170.787720020473	26.58
1092	2780.265229513939	144.05953211881481	2397.135877491306	1083.587698345059	1711.2813357454047	3413.9706972998074	831.466827255103	1911.7723502760066	1196.6059250163355	466.0987506493183	1383.0684277659375	4481.28989128257	8207.750599997582	40.52
989	5060.873485245145	255.12863360524867	3276.4814849343948	1674.7079540440286	2350.0606162441227	4872.788627663763	1034.5193893810078	3029.1661785361184	1622.3576995604062	839.1346136093947	1886.7232096605364	6247.513919033252	12606.974088519804	110.33
158	4895.933854877249	253.63425589496634	3142.804483955623	1687.0484814688543	2173.943318947812	4584.914250635428	964.3043861583656	2958.1206549026488	1610.0571596679058	780.4987574805759	1839.6481179577443	6062.4383792147055	12262.951432644846	56.07
1237	5243.295816359528	268.4729642614005	3232.573895607918	1681.3855214656878	2266.1482257503753	4470.743220356557	1370.0530827923294	3269.2490898594942	1581.0205915034896	841.0492005795851	1644.448028356036	6027.180550904433	12707.452915549862	92.16
752	2577.50373777328	148.26466282736402	2189.311759900343	989.7346308303908	1400.2357116592411	3130.1217727148273	544.9943777130936	1888.346888250407	914.8971498229399	430.9900956567135	955.6447612062599	4227.7032612484845	7518.202856816425	14.91
