InstanceID	N0	N1	N2	X	N3	N4	N5	N6	N7	N8	N9	N10	N11	Class
1191	5127.353205571723	1519.9389034416572	500.66935751197593	7282.162044802496	1014.5314287495966	2171.8501985346147	1647.6608942751618	3988.130004129014	314.26049725627365	4936.572364343152	1151.9657171426988	4522.843568873227	4075.452165007577	-0.9920624237
982	4731.497942449331	1257.7287876525493	267.6924037506036	7082.887191501089	832.4901241470486	2110.898945030683	1836.7038834073621	3482.343858571709	352.4588829027449	4525.040951261189	1088.1689544397261	4015.31724592027	3940.774741917884	-0.953588266
271	3101.5823333850476	752.7908512308582	251.57113906590604	4528.809562057865	751.7821325845994	1452.8202123819906	1091.4917228518898	1613.497647062842	324.734559082734	2570.482329493363	499.7707126862733	2009.4858199632563	2067.5571097698435	-0.4331923709
1190	5114.459775318308	1510.4493725005184	505.9913209518552	7427.806248132496	883.1753294872331	2258.7911352499286	1564.06393949416	4077.988725334789	376.75349062599935	4920.851284103954	1182.8577082907852	4595.318208700477	4402.37362676578	0.9107443758
600	2308.1598294872574	600.26968604066	465.07034719462973	4132.963444066968	809.4284271876817	1486.1560631015204	883.2047002489121	1373.8223851158402	207.8608438940065	1960.3151884274887	405.1640697206997	1419.287890272976	1782.6162744291676	-0.6665624963
119	1380.9387926022912	685.4531528382787	342.6032542900748	1682.4840150726307	373.90641717032474	535.860187904424	187.5138824682438	1227.7461284003195	141.67163788754416	1413.086054341488	398.0996998551152	1385.912175439363	1274.2504302406655	-0.1662540692
469	1891.231369149548	342.96695580195785	280.61525656686007	3451.7545446850436	644.627369525827	1175.1096663684311	831.0577138418001	836.3592167346474	250.38372309646545	1459.789211885025	377.92225567366626	951.748941253799	1463.425525380974	-0.2657825788
287	5146.836522781872	1572.9777003543854	520.2284329967865	7594.702857397433	957.7112395600935	2244.312787396514	1762.9116699414615	4138.841734363439	387.477433909137	5031.597904410763	1224.2003747437386	4633.44193638232	4507.032075766723	0.8042891441
1158	4499.741996211254	1377.8451540555277	529.0991159722763	6674.542026633244	990.0621275209683	2168.478407634126	1456.7256942455945	3389.9781348739293	341.56998725004496	4317.8245206085985	1098.151140515903	3853.7575735611017	3679.334289373268	-0.7249186426
1092	4789.391469510401	1505.091428946481	538.4392530806432	6894.965985734499	882.5872263150003	2105.509346008355	1636.0476320672299	4028.7459472205537	302.56443969499384	4894.382939310233	1175.5103174422525	4527.115547206568	4261.129062955726	0.9991311566
989	2503.448623915734	975.3460501594769	482.1771477882306	3595.7720784494963	615.5833116537012	1242.1628623772747	629.0353809446859	1902.1386699844481	229.00744320347965	2403.1597107743837	776.7352382835965	2154.548980162141	2197.16607499037	0.5196203153
158	4208.316860421979	1059.9027122258246	277.83511246860036	6333.927090244977	846.0612703439476	2031.4061688174456	1617.7723626637546	2876.317117304543	359.8010454197146	3827.5367005155845	976.6201272975087	3392.0693066143226	3394.2938467635113	-0.752027537
